 URL, Mobile_Performance, Mobile_Accessibility, Mobile_Best_Practices, Mobile_SEO, Desktop_Performance, Desktop_Accessibility, Desktop_Best_Practices, Desktop_SEO
https://www.medstarhealth.org/,17,64,67,50,17,64,67,50
https://www.medstarhealth.org/services,28,79,75,57,28,79,75,57
https://www.medstarhealth.org/doctors,25,65,75,57,25,65,75,57
https://www.medstarhealth.org/mymedstar-patient-portal,30,92,75,57,32,92,75,57
https://www.medstarhealth.org/innovation-and-research,28,92,75,57,31,92,75,57
https://www.medstarhealth.org/Doctors,27,65,75,57,26,65,75,57
https://www.medstarhealth.org/services/telehealth,26,93,67,64,26,93,67,64
https://www.medstarhealth.org/education,20,92,67,57,20,92,67,57
https://www.medstarhealth.org/billing-and-insurance,28,86,75,57,31,86,75,57
https://www.medstarhealth.org/contact-us,26,82,67,57,20,82,67,57
https://www.medstarhealth.org/about,21,88,58,57,20,88,67,57
https://www.medstarhealth.org/for-healthcare-professionals,28,93,75,57,40,93,75,57
https://www.medstarhealth.org/news-and-publications,30,92,75,64,32,92,75,64
https://www.medstarhealth.org/blog,26,72,67,57,22,72,67,57
https://www.medstarhealth.org/classes-and-events,30,93,75,57,42,93,75,57
https://www.medstarhealth.org/philanthropy,23,87,67,57,24,87,67,57
https://www.medstarhealth.org/services/heart-and-vascular,24,90,67,50,24,90,67,50
https://www.medstarhealth.org/services/orthopedics,23,90,58,50,23,90,58,50
https://www.medstarhealth.org/services/cancer,23,90,67,50,22,90,67,50
https://www.medstarhealth.org/services/neurology-and-neurosurgery,24,89,67,50,24,89,67,50
https://www.medstarhealth.org/services/medstar-georgetown-transplant-institute,29,90,67,50,22,90,58,50
https://www.medstarhealth.org/services/gastroenterology,23,90,67,50,23,90,67,50
https://www.medstarhealth.org/services/physical-therapy,26,90,75,50,26,90,75,50
https://www.medstarhealth.org/services/womens-health,23,93,67,50,23,93,67,50
https://www.medstarhealth.org/services/behavioral-health,23,90,67,64,23,90,67,64
https://www.medstarhealth.org/innovation-and-research/medstar-health-research-institute,32,90,75,57,24,90,75,57
https://www.medstarhealth.org/innovation-and-research/medstar-institute-for-innovation,28,88,75,57,27,88,75,57
https://www.medstarhealth.org/innovation-and-research/national-center-for-human-factors-in-healthcare,27,93,75,57,26,93,75,57
https://www.medstarhealth.org/innovation-and-research/institute-for-quality-and-safety,24,93,75,57,22,93,75,57
https://www.medstarhealth.org/innovation-and-research/sitel,28,88,75,57,28,88,75,57
https://www.medstarhealth.org/innovation-and-research/international-training-center-for-bloodless-medicine,23,94,50,57,27,94,50,57
https://www.medstarhealth.org/education/residency-programs,22,93,75,57,22,93,75,57
https://www.medstarhealth.org/education/fellowship-programs,23,93,75,57,24,93,75,57
https://www.medstarhealth.org/education/interprofessional-continuing-education-program,21,93,75,57,23,93,75,57
https://www.medstarhealth.org/careers,25,92,67,64,26,92,67,64
https://www.medstarhealth.org/services/sports-medicine,25,90,75,50,36,90,75,50
